created_at,day_of_week,hour_of_day,minute_of_hour,streamed_on
2023-03-29 17:00:16+00:00,2,17,0,1
2023-03-28 16:33:17+00:00,1,16,33,1
2023-03-26 16:38:55+00:00,6,16,38,1
2023-03-24 23:21:36+00:00,4,23,21,1
2023-03-24 23:14:31+00:00,4,23,14,1
2023-03-24 16:59:11+00:00,4,16,59,1
2023-03-22 15:00:19+00:00,2,15,0,1
2023-03-21 16:35:38+00:00,1,16,35,1
2023-03-20 15:57:40+00:00,0,15,57,1
2023-03-18 16:20:10+00:00,5,16,20,1
2023-03-17 16:23:27+00:00,4,16,23,1
2023-03-15 16:13:33+00:00,2,16,13,1
2023-03-14 14:04:21+00:00,1,14,4,1
2023-03-13 17:57:01+00:00,0,17,57,1
2023-03-11 17:01:57+00:00,5,17,1,1
2023-03-10 17:40:45+00:00,4,17,40,1
2023-03-08 17:44:33+00:00,2,17,44,1
2023-03-07 18:11:49+00:00,1,18,11,1
2023-03-05 17:26:54+00:00,6,17,26,1
2023-03-04 16:47:55+00:00,5,16,47,1
2023-03-03 16:38:18+00:00,4,16,38,1
2023-03-01 17:13:58+00:00,2,17,13,1
2023-02-28 16:39:57+00:00,1,16,39,1
2023-02-27 16:56:13+00:00,0,16,56,1
2023-02-24 17:21:07+00:00,4,17,21,1
2023-02-23 16:57:35+00:00,3,16,57,1
2023-02-22 16:27:31+00:00,2,16,27,1
2023-02-20 15:24:37+00:00,0,15,24,1
2023-02-18 17:09:14+00:00,5,17,9,1
2023-02-17 16:04:25+00:00,4,16,4,1
2023-02-16 15:27:16+00:00,3,15,27,1
2023-02-14 18:42:15+00:00,1,18,42,1
2023-02-13 15:59:22+00:00,0,15,59,1
2023-02-12 15:46:30+00:00,6,15,46,1
2023-02-09 16:34:16+00:00,3,16,34,1
2023-02-08 16:22:47+00:00,2,16,22,1
2023-02-07 16:19:09+00:00,1,16,19,1
2023-02-05 16:27:21+00:00,6,16,27,1
2023-02-03 16:20:12+00:00,4,16,20,1
2023-02-02 16:21:12+00:00,3,16,21,1
2023-02-01 15:24:57+00:00,2,15,24,1
2023-01-29 16:20:53+00:00,6,16,20,1
2023-01-28 16:05:02+00:00,5,16,5,1
